video_id,label,start,end
6891118360021470470,noEnergy,28.14,28.86
6891118360021470470,female,28.86,35.04
6891118360021470470,noEnergy,35.04,36.28
6891118360021470470,female,36.28,38.58
6891118360021470470,noEnergy,38.58,39.58
6891118360021470470,female,39.58,41.44
6891118360021470470,noEnergy,41.44,41.86
6891118360021470470,female,41.86,46.84
6891118360021470470,noEnergy,46.84,47.7
6891118360021470470,female,47.7,50.6
6891118360021470470,noise,50.6,52.9
6891118360021470470,noEnergy,52.9,53.22
6890711919808826630,music,0.0,9.5
6851763635027528965,male,0.0,2.6
6851763635027528965,noEnergy,2.6,3.08
6851763635027528965,female,3.08,7.36
6851763635027528965,male,7.36,9.66
6851763635027528965,female,9.66,11.72
6851763635027528965,male,11.72,14.700000000000001
6851763635027528965,noEnergy,14.700000000000001,15.18
6851763635027528965,female,15.18,17.82
6851763635027528965,male,17.82,19.44
6851763635027528965,female,19.44,21.32
6851763635027528965,male,21.32,29.5
6851763635027528965,female,29.5,33.26
6851763635027528965,male,33.26,36.56
6880709250000227590,music,0.0,5.92
6880709250000227590,noise,5.92,21.26
6880709250000227590,music,21.26,28.94
6877587251593891078,music,0.0,18.6
6893152112277081346,male,0.0,2.5
6893152112277081346,music,2.5,8.42
6893152112277081346,female,8.42,17.56
6893152112277081346,music,17.56,24.16
6893152112277081346,male,24.16,40.26
6893152112277081346,female,40.26,43.88
6893152112277081346,male,43.88,48.660000000000004
6893152112277081346,female,48.660000000000004,55.28
6893152112277081346,male,55.28,58.980000000000004
6891627496849083649,noise,0.0,8.3
6891627496849083649,noEnergy,8.3,8.48
6883678085271620869,noEnergy,0.0,0.22
6883678085271620869,female,0.22,5.2
6883678085271620869,noEnergy,5.2,5.78
6883678085271620869,female,5.78,16.740000000000002
6883678085271620869,noEnergy,16.740000000000002,21.04
6883678085271620869,noise,21.04,24.16
6883678085271620869,male,24.16,29.66
6883678085271620869,noise,29.66,39.84
6883678085271620869,female,39.84,52.14
6883678085271620869,noise,52.14,56.9
6886849142727986438,music,0.0,2.7800000000000002
6886849142727986438,noise,2.7800000000000002,15.52
6880929349613210885,music,0.0,27.28
6880929349613210885,noEnergy,27.28,28.26
6894088949170441477,music,0.0,4.1
6894088949170441477,noise,4.1,6.8
6894088949170441477,female,6.8,8.700000000000001
6894088949170441477,male,8.700000000000001,16.84
6894088949170441477,female,16.84,18.48
6894088949170441477,noEnergy,18.48,19.080000000000002
6894088949170441477,male,19.080000000000002,19.66
6894088949170441477,noEnergy,19.66,20.1
6894088949170441477,male,20.1,21.18
6894088949170441477,female,21.18,23.88
6894088949170441477,noEnergy,23.88,24.52
6894088949170441477,male,24.52,25.560000000000002
6894088949170441477,female,25.560000000000002,27.04
6894088949170441477,male,27.04,30.2
6894088949170441477,female,30.2,32.2
6894088949170441477,noEnergy,32.2,32.62
6894088949170441477,female,32.62,47.82
6894088949170441477,noEnergy,47.82,48.44
6894088949170441477,female,48.44,49.04
6894088949170441477,noEnergy,49.04,49.46
6894088949170441477,noise,49.46,54.120000000000005
6894088949170441477,male,54.120000000000005,59.04
6854376215906684165,music,0.0,13.780000000000001
6880195017890172165,music,0.0,12.6
6880195017890172165,noise,12.6,15.06
6892427865577573638,female,0.0,53.68
6892427865577573638,noEnergy,53.68,54.06
6887396747291725062,male,0.0,1.6400000000000001
6887396747291725062,noEnergy,1.6400000000000001,2.42
6887396747291725062,male,2.42,36.78
6870919175557172485,music,0.0,29.38
6885444800233966853,noEnergy,0.0,0.24
